outlet_scale,alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
0.09,weak_front,1.6,1.0,-0.18,True,1592.22202508705,1808.6268827546312,13.591374460213856
0.09,weak_front,1.6,1.0,-0.1,True,1593.2019848170708,1808.0078175740512,13.482649080533516
0.09,central_front,1.1,0.65,-0.3,True,1585.9713291498697,1776.7229221247771,12.027430097185698
0.09,central_front,1.1,0.65,-0.18,True,1585.9713291498697,1774.0766363039293,11.860574254825273
0.09,central_front,1.1,0.65,-0.1,True,1585.196163128744,1772.789097560962,11.834051759370956
0.09,central_front,1.1,0.8,-0.3,True,1591.9949904801235,1790.662588389578,12.479159739663448
0.09,central_front,1.1,0.8,-0.18,True,1590.1931087717958,1787.603576778075,12.414244969200716
0.09,central_front,1.1,0.8,-0.1,True,1591.1481506066348,1786.975504537041,12.307298591633087
0.09,central_front,1.1,1.0,-0.3,True,1595.5506685245123,1807.3663131442067,13.275394432667653
0.09,central_front,1.1,1.0,-0.18,True,1594.2682040709678,1807.0108712438232,13.344220666862473
0.09,central_front,1.1,1.0,-0.1,True,1594.2682040709678,1807.084899658371,13.348864077196998
0.09,central_front,1.35,0.65,-0.3,True,1587.0026651519117,1777.2149717540285,11.985632461676365
0.09,central_front,1.35,0.65,-0.18,True,1585.9713291498697,1776.8439512070695,12.035061324816866
0.09,central_front,1.35,0.65,-0.1,True,1585.196163128744,1778.310525540932,12.182363729106749
0.09,central_front,1.35,0.8,-0.3,True,1591.9949904801235,1791.3038622691408,12.519440889001077
0.09,central_front,1.35,0.8,-0.18,True,1590.1931087717958,1787.7936815440028,12.426199791849557
0.09,central_front,1.35,0.8,-0.1,True,1591.1481506066348,1787.603576778075,12.346771486774522
0.09,central_front,1.35,1.0,-0.3,True,1595.5506685245123,1808.4362985782025,13.342455006493559
0.09,central_front,1.35,1.0,-0.18,True,1594.2682040709678,1807.5821180029557,13.380051950311135
0.09,central_front,1.35,1.0,-0.1,True,1594.2682040709678,1807.9045947531072,13.400279208769161
0.09,central_front,1.6,0.65,-0.3,True,1587.0026651519117,1777.6134812069079,12.010743286102187
0.09,central_front,1.6,0.65,-0.18,True,1585.9713291498697,1777.8669336967967,12.099563278346848
0.09,central_front,1.6,0.65,-0.1,True,1586.7332095406937,1780.5794083741935,12.216685052530774
0.09,central_front,1.6,0.8,-0.3,True,1591.9949904801235,1793.7169915974696,12.67101984136958
0.09,central_front,1.6,0.8,-0.18,True,1592.1650368399285,1791.3038622691408,12.507423591241263
0.09,central_front,1.6,0.8,-0.1,True,1591.1481506066348,1787.7936815440028,12.358719133877983
0.09,central_front,1.6,1.0,-0.3,True,1596.1971483718385,1809.4959590136366,13.362936455522956
0.09,central_front,1.6,1.0,-0.18,True,1595.9250720971347,1809.5331524910678,13.384593307581794
